$type,id,operationType,vehicleId,naptanId,stationName,lineId,lineName,platformName,bearing,destinationNaptanId,destinationName,timestamp,timeToStation,currentLocation,towards,expectedArrival,timeToLive,modeName,timing.$type,timing.countdownServerAdjustment,timing.source,timing.insert,timing.read,timing.sent,timing.received,direction,api_fetch_time
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",-125053398,1,233,940GZZLUSVS,Seven Sisters Underground Station,victoria,Victoria,Northbound - Platform 3,,940GZZLUWWL,Walthamstow Central Underground Station,2025-11-27T11:25:54.4133135Z,280,At Finsbury Park,Walthamstow Central,2025-11-27T11:30:34Z,2025-11-27T11:30:34Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-11-27T11:26:02.149Z,2025-11-27T11:25:54Z,0001-01-01T00:00:00,outbound,2025-11-27 11:26:26
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",1775592397,1,221,940GZZLUVIC,Victoria Underground Station,victoria,Victoria,Southbound - Platform 4,,940GZZLUBXN,Brixton Underground Station,2025-11-27T11:25:54.4133135Z,371,Between Warren Street and Oxford Circus,Brixton,2025-11-27T11:32:05Z,2025-11-27T11:32:05Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-11-27T11:26:03.461Z,2025-11-27T11:25:54Z,0001-01-01T00:00:00,inbound,2025-11-27 11:26:26
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",1715436259,1,224,940GZZLUGPK,Green Park Underground Station,victoria,Victoria,Northbound - Platform 3,,940GZZLUWWL,Walthamstow Central Underground Station,2025-11-27T11:25:54.4133135Z,371,At Vauxhall,Walthamstow Central,2025-11-27T11:32:05Z,2025-11-27T11:32:05Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-11-27T11:26:00.654Z,2025-11-27T11:25:54Z,0001-01-01T00:00:00,outbound,2025-11-27 11:26:26
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",435695474,1,237,940GZZLUOXC,Oxford Circus Underground Station,victoria,Victoria,Northbound - Platform 6,,940GZZLUWWL,Walthamstow Central Underground Station,2025-11-27T11:25:54.4133135Z,551,Between Stockwell and Vauxhall,Walthamstow Central,2025-11-27T11:35:05Z,2025-11-27T11:35:05Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-11-27T11:26:01.403Z,2025-11-27T11:25:54Z,0001-01-01T00:00:00,outbound,2025-11-27 11:26:26
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",1240787667,1,237,940GZZLUHAI,Highbury & Islington Underground Station,victoria,Victoria,Northbound - Platform 3,,940GZZLUWWL,Walthamstow Central Underground Station,2025-11-27T11:25:54.4133135Z,970,Between Stockwell and Vauxhall,Walthamstow Central,2025-11-27T11:42:04Z,2025-11-27T11:42:04Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-11-27T11:26:00.9Z,2025-11-27T11:25:54Z,0001-01-01T00:00:00,outbound,2025-11-27 11:26:26
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",-9839306,1,236,940GZZLUWWL,Walthamstow Central Underground Station,victoria,Victoria,Southbound - Platform 1,,940GZZLUWWL,Walthamstow Central Underground Station,2025-11-27T11:25:54.4133135Z,1330,At Green Park,Walthamstow Central,2025-11-27T11:48:04Z,2025-11-27T11:48:04Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-11-27T11:26:04.06Z,2025-11-27T11:25:54Z,0001-01-01T00:00:00,,2025-11-27 11:26:26
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",-418285852,1,230,940GZZLUPCO,Pimlico Underground Station,victoria,Victoria,Southbound - Platform 2,,940GZZLUBXN,Brixton Underground Station,2025-11-27T11:25:54.4133135Z,970,Departed Finsbury Park,Brixton,2025-11-27T11:42:04Z,2025-11-27T11:42:04Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-11-27T11:26:01.792Z,2025-11-27T11:25:54Z,0001-01-01T00:00:00,inbound,2025-11-27 11:26:26
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",969455588,1,212,940GZZLUWRR,Warren Street Underground Station,victoria,Victoria,Southbound - Platform 4,,940GZZLUBXN,Brixton Underground Station,2025-11-27T11:25:54.4133135Z,41,Between Euston and Warren Street,Brixton,2025-11-27T11:26:35Z,2025-11-27T11:26:35Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-11-27T11:26:05.526Z,2025-11-27T11:25:54Z,0001-01-01T00:00:00,inbound,2025-11-27 11:26:26
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",-906759036,1,231,940GZZLUSKW,Stockwell Underground Station,victoria,Victoria,Southbound - Platform 4,,940GZZLUBXN,Brixton Underground Station,2025-11-27T11:25:54.4133135Z,1451,At Seven Sisters Platform 5,Brixton,2025-11-27T11:50:05Z,2025-11-27T11:50:05Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-11-27T11:26:02.486Z,2025-11-27T11:25:54Z,0001-01-01T00:00:00,inbound,2025-11-27 11:26:26
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",570311714,1,234,940GZZLUHAI,Highbury & Islington Underground Station,victoria,Victoria,Northbound - Platform 3,,940GZZLUWWL,Walthamstow Central Underground Station,2025-11-27T11:25:54.4133135Z,70,Between Kings Cross St. Pancras and Highbury & Isl,Walthamstow Central,2025-11-27T11:27:04Z,2025-11-27T11:27:04Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-11-27T11:26:00.9Z,2025-11-27T11:25:54Z,0001-01-01T00:00:00,outbound,2025-11-27 11:26:26
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",-1910712191,1,214,940GZZLUTMH,Tottenham Hale Underground Station,victoria,Victoria,Northbound - Platform 1,,940GZZLUWWL,Walthamstow Central Underground Station,2025-11-27T11:25:54.4133135Z,1210,At Victoria,Walthamstow Central,2025-11-27T11:46:04Z,2025-11-27T11:46:04Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-11-27T11:26:02.752Z,2025-11-27T11:25:54Z,0001-01-01T00:00:00,outbound,2025-11-27 11:26:26
