$type,id,operationType,vehicleId,naptanId,stationName,lineId,lineName,platformName,direction,bearing,destinationNaptanId,destinationName,timestamp,timeToStation,currentLocation,towards,expectedArrival,timeToLive,modeName,timing.$type,timing.countdownServerAdjustment,timing.source,timing.insert,timing.read,timing.sent,timing.received,api_fetch_time
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",1260392022,1,236,940GZZLUECM,Ealing Common Underground Station,piccadilly,Piccadilly,Eastbound - Platform 2,outbound,,940GZZLUCKS,Cockfosters Underground Station,2025-11-27T12:45:58.3134238Z,795,Between South Harrow and Sudbury Hill,Cockfosters,2025-11-27T12:59:13Z,2025-11-27T12:59:13Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-11-27T12:45:16.293Z,2025-11-27T12:45:58Z,0001-01-01T00:00:00,2025-11-27 12:46:30
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",1263859559,1,330,940GZZLUWOG,Wood Green Underground Station,piccadilly,Piccadilly,EastBound - Platform 1,outbound,,940GZZLUCKS,Cockfosters Underground Station,2025-11-27T12:45:58.3134238Z,1095,,Cockfosters,2025-11-27T13:04:13Z,2025-11-27T13:04:13Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-11-27T12:45:32.393Z,2025-11-27T12:45:58Z,0001-01-01T00:00:00,2025-11-27 12:46:30
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",777420951,1,240,940GZZLUSUH,Sudbury Hill Underground Station,piccadilly,Piccadilly,Westbound - Platform 1,inbound,,940GZZLURYL,Rayners Lane Underground Station,2025-11-27T12:45:58.3134238Z,1334,Between Barons Court and Hammersmith,Rayners Lane,2025-11-27T13:08:12Z,2025-11-27T13:08:12Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-11-27T12:45:31.66Z,2025-11-27T12:45:58Z,0001-01-01T00:00:00,2025-11-27 12:46:30
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",1086662950,1,304,940GZZLUHWY,Holloway Road Underground Station,piccadilly,Piccadilly,Eastbound - Platform 2,outbound,,940GZZLUCKS,Cockfosters Underground Station,2025-11-27T12:45:58.3134238Z,795,At Piccadilly Circus Platform 3,Cockfosters,2025-11-27T12:59:13Z,2025-11-27T12:59:13Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-11-27T12:45:21.144Z,2025-11-27T12:45:58Z,0001-01-01T00:00:00,2025-11-27 12:46:30
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",-1107981869,1,304,940GZZLUWOG,Wood Green Underground Station,piccadilly,Piccadilly,EastBound - Platform 1,outbound,,940GZZLUCKS,Cockfosters Underground Station,2025-11-27T12:45:58.3134238Z,1515,At Piccadilly Circus Platform 3,Cockfosters,2025-11-27T13:11:13Z,2025-11-27T13:11:13Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-11-27T12:45:32.393Z,2025-11-27T12:45:58Z,0001-01-01T00:00:00,2025-11-27 12:46:30
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",-290094391,1,326,940GZZLUTPN,Turnpike Lane Underground Station,piccadilly,Piccadilly,EastBound - Platform 1,outbound,,940GZZLUASG,Arnos Grove Underground Station,2025-11-27T12:45:58.3134238Z,1455,At Green Park Platform 2,Arnos Grove,2025-11-27T13:10:13Z,2025-11-27T13:10:13Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-11-27T12:45:32.268Z,2025-11-27T12:45:58Z,0001-01-01T00:00:00,2025-11-27 12:46:30
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",1333266911,1,317,940GZZLUHWC,Hounslow Central Underground Station,piccadilly,Piccadilly,Westbound - Platform 1,inbound,,940GZZLUHR4,Heathrow Terminal 4 Underground Station,2025-11-27T12:45:58.3134238Z,1635,Between Gloucester Road and Earl's Court,Heathrow via T4 Loop,2025-11-27T13:13:13Z,2025-11-27T13:13:13Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-11-27T12:45:21.322Z,2025-11-27T12:45:58Z,0001-01-01T00:00:00,2025-11-27 12:46:30
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",661956402,1,334,940GZZLUBSC,Barons Court Underground Station,piccadilly,Piccadilly,Eastbound - Platform 3,outbound,,940GZZLUCKS,Cockfosters Underground Station,2025-11-27T12:45:58.3134238Z,1695,Between Hatton Cross and Hounslow West,Cockfosters,2025-11-27T13:14:13Z,2025-11-27T13:14:13Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-11-27T12:45:14.363Z,2025-11-27T12:45:58Z,0001-01-01T00:00:00,2025-11-27 12:46:30
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",1894018547,1,324,940GZZLUSKS,South Kensington Underground Station,piccadilly,Piccadilly,Westbound - Platform 3,inbound,,940GZZLUHR4,Heathrow Terminal 4 Underground Station,2025-11-27T12:45:58.3134238Z,974,Between Caledonian Road and King's Cross,Heathrow via T4 Loop,2025-11-27T13:02:12Z,2025-11-27T13:02:12Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-11-27T12:45:31.38Z,2025-11-27T12:45:58Z,0001-01-01T00:00:00,2025-11-27 12:46:30
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",1576782300,1,311,940GZZLUHSD,Hammersmith (Dist&Picc Line) Underground Station,piccadilly,Piccadilly,Eastbound - Platform 3,outbound,,940GZZLUCKS,Cockfosters Underground Station,2025-11-27T12:45:58.3134238Z,435,At Acton Town Platform 3,Cockfosters,2025-11-27T12:53:13Z,2025-11-27T12:53:13Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-11-27T12:45:19.561Z,2025-11-27T12:45:58Z,0001-01-01T00:00:00,2025-11-27 12:46:30
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",1261107051,1,240,940GZZLUTNG,Turnham Green Underground Station,piccadilly,Piccadilly,Westbound - Platform 2,inbound,,940GZZLURYL,Rayners Lane Underground Station,2025-11-27T12:45:58.3134238Z,224,Between Barons Court and Hammersmith,Rayners Lane,2025-11-27T12:49:42Z,2025-11-27T12:49:42Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-11-27T12:45:32.123Z,2025-11-27T12:45:58Z,0001-01-01T00:00:00,2025-11-27 12:46:30
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",-2042227850,1,330,940GZZLUBDS,Bounds Green Underground Station,piccadilly,Piccadilly,EastBound - Platform 1,outbound,,940GZZLUCKS,Cockfosters Underground Station,2025-11-27T12:45:58.3134238Z,1274,,Cockfosters,2025-11-27T13:07:12Z,2025-11-27T13:07:12Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-11-27T12:45:15.067Z,2025-11-27T12:45:58Z,0001-01-01T00:00:00,2025-11-27 12:46:30
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",-1288874698,1,240,940GZZLUHSD,Hammersmith (Dist&Picc Line) Underground Station,piccadilly,Piccadilly,Westbound - Platform 2,inbound,,940GZZLURYL,Rayners Lane Underground Station,2025-11-27T12:45:58.3134238Z,14,Between Barons Court and Hammersmith,Rayners Lane,2025-11-27T12:46:12Z,2025-11-27T12:46:12Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-11-27T12:45:19.561Z,2025-11-27T12:45:58Z,0001-01-01T00:00:00,2025-11-27 12:46:30
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",-659554759,1,224,940GZZLUMRH,Manor House Underground Station,piccadilly,Piccadilly,EastBound - Platform 1,outbound,,940GZZLUCKS,Cockfosters Underground Station,2025-11-27T12:45:58.3134238Z,1334,At Hyde Park Corner Platform 1,Cockfosters,2025-11-27T13:08:12Z,2025-11-27T13:08:12Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-11-27T12:45:24.946Z,2025-11-27T12:45:58Z,0001-01-01T00:00:00,2025-11-27 12:46:30
